Epoch: 0, Loss: 0.6829148232936859
Epoch: 1, Loss: 0.6665253937244415
Epoch: 2, Loss: 0.6514086872339249
Epoch: 3, Loss: 0.6329270303249359
Epoch: 4, Loss: 0.6134417504072189
Epoch: 5, Loss: 0.5914448797702789
Epoch: 6, Loss: 0.5731636732816696
Epoch: 7, Loss: 0.5457625091075897
Epoch: 8, Loss: 0.5177544504404068
Epoch: 9, Loss: 0.48657506704330444
Epoch: 10, Loss: 0.4613778218626976
Epoch: 11, Loss: 0.4413907080888748
Epoch: 12, Loss: 0.3979915454983711
Epoch: 13, Loss: 0.3761742487549782
Epoch: 14, Loss: 0.33924224972724915
Epoch: 15, Loss: 0.30650633573532104
Epoch: 16, Loss: 0.29124531149864197
Epoch: 17, Loss: 0.2683108150959015
Epoch: 18, Loss: 0.25026165693998337
Epoch: 19, Loss: 0.22116267308592796
Epoch: 20, Loss: 0.21051211282610893
Epoch: 21, Loss: 0.20473751053214073
Epoch: 22, Loss: 0.1895846202969551
Epoch: 23, Loss: 0.15796062722802162
Epoch: 24, Loss: 0.16661382466554642
Epoch: 25, Loss: 0.13770261779427528
Epoch: 26, Loss: 0.12726465985178947
Epoch: 27, Loss: 0.11739831045269966
Epoch: 28, Loss: 0.12311842851340771
Epoch: 29, Loss: 0.1274428404867649
Epoch: 30, Loss: 0.1030827946960926
Epoch: 31, Loss: 0.10311177559196949
Epoch: 32, Loss: 0.09928127937018871
Epoch: 33, Loss: 0.10657782107591629
Epoch: 34, Loss: 0.0886848196387291
Epoch: 35, Loss: 0.09432473219931126
Epoch: 36, Loss: 0.08805594220757484
Epoch: 37, Loss: 0.08622883446514606
Epoch: 38, Loss: 0.09941315278410912
Epoch: 39, Loss: 0.0876341350376606
Epoch: 40, Loss: 0.08011281117796898
Epoch: 41, Loss: 0.07181297615170479
Epoch: 42, Loss: 0.08181443624198437
Epoch: 43, Loss: 0.08954987674951553
Epoch: 44, Loss: 0.08783596381545067
Epoch: 45, Loss: 0.06658307183533907
Epoch: 46, Loss: 0.07011922635138035
Epoch: 47, Loss: 0.06494352035224438
Epoch: 48, Loss: 0.06798603385686874
Epoch: 49, Loss: 0.07084527518600225
